No.,Nama Sungai,Lokasi/ Koordinat,Periode/ Tanggal,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,TSS.1,DO.1,BOD.1,COD.1,Fosfat.1,Fecal Coli.1,Total-Coliform.1,TSS.2,DO.2,BOD.2,COD.2,Fosfat.2,Fecal Coli.2,Total-Coliform.2,TSS.3,DO.3,BOD.3,COD.3,Fosfat.3,Fecal Coli.3,Total-Coliform.3,(Ci/Lij)R,(Ci/Lij)M,(Ci/Lij)R2,(Ci/Lij)M2,Pij,Status Mutu Air
45,Cibeureum Hilir,E 107´32.714´ S 06´55.918´,2019-11-04,57.0,4.31,21.0,73.0,0.16,1455000,22470000.0,50,4,3,25,0.2,1000,5000,1.14,0.2241666666666667,7.0,2.92,0.7999999999999999,1455.0,,1.2845242566823627,0.2241666666666667,5.225490200071284,3.3269142572420916,0.7999999999999999,1455.0,0.0,209.4087279115232,1455.0,43852.01532552235,2117025.0,1039.4414402277607,berat
47,cimahi tengah,,2012-05-08,121.0,5.13,4.95,14.5,,100000,212000000.0,50,4,3,25,0.2,1000,5000,2.42,0.15583333333333335,1.6500000000000001,0.58,0.0,100.0,42400.0,2.9190768299021563,0.15583333333333335,2.0874197210695318,-0.18286003218531377,0.0,11.0,24.136829282963664,5.730899876440482,24.136829282963664,32.84321339378553,582.5865278349322,17.541803516581723,berat
48,Cimahi hilir,,2012-05-07,707.0,3.02,7.86,34.7,,2500,296000000.0,50,4,3,25,0.2,1000,5000,14.14,0.33166666666666667,2.62,1.3880000000000001,0.0,2.5,59200.0,6.752247047304403,0.33166666666666667,3.0915064565987276,1.7119473305941808,0.0,2.989700043360188,24.8616085336146,5.676953725448395,24.8616085336146,32.22780360088241,618.0995788786983,18.032295783948044,berat
50,Cibabat Tengah,,2012-05-07,829.0,2.01,34.7,184.0,,120000,217000000.0,50,4,3,25,0.2,1000,5000,16.58,0.41583333333333333,11.566666666666668,7.36,0.0,120.0,43400.0,7.097922631071273,0.41583333333333333,6.316041100356057,5.334389071687495,0.0,11.395906230238124,24.18744864756255,7.8210772877498345,24.18744864756255,61.169249940956306,585.0326720784755,17.975009346582155,berat
51,Cibabat Hilir,,2012-05-08,893.0,0.779,65.2,272.0,,500000,40000000.0,50,4,3,25,0.2,1000,5000,17.86,0.5184166666666666,21.733333333333334,10.88,0.0,500.0,8000.0,7.259407272762639,0.5184166666666666,7.685631705061289,6.183144476810806,0.0,14.494850021680094,20.51544993495972,8.093842868277317,20.51544993495972,65.5102923763636,420.8836860338387,15.594774419820927,berat
52,Cibeureum Hulu,,2012-05-09,298.0,5.79,14.9,51.3,,3000000,115000000.0,50,4,3,25,0.2,1000,5000,5.96,0.10083333333333333,4.966666666666667,2.052,0.0,3000.0,23000.0,4.876231298701182,0.10083333333333333,4.480325068463058,2.560886782198893,0.0,18.385606273598313,22.808639180087965,7.601788848054677,22.808639180087965,57.78719369040846,520.2340212474438,17.00031198151746,berat
53,Cibeureum Tengah,,2012-05-09,288.0,3.18,11.8,71.7,,3000000,6700000.0,50,4,3,25,0.2,1000,5000,5.76,0.3183333333333333,3.9333333333333336,2.8680000000000003,0.0,3000.0,1340.0,4.80211241711606,0.3183333333333333,3.973803762932315,3.2878957349788127,0.0,18.385606273598313,16.635523991824037,6.771896501968982,18.385606273598313,45.858582233379735,338.03051804777766,13.85440544161238,berat
54,Cibeureum Hilir,,2012-05-09,535.0,0.0,1255.0,2867.0,,5000000,9000000.0,50,4,3,25,0.2,1000,5000,10.7,0.5833333333333334,418.3333333333333,114.68,0.0,5000.0,1800.0,6.146918888426049,0.5833333333333334,14.107612355486973,11.297438421372235,0.0,19.494850021680094,17.27636252551653,9.843787935116458,19.494850021680094,96.90016091154433,380.0491773678003,15.442625072819464,berat
56,Cisangkan Tengah,,2012-05-02,239.0,1.08,19.6,54.8,,590000,37000000.0,50,4,3,25,0.2,1000,5000,4.78,0.49333333333333335,6.533333333333334,2.1919999999999997,0.0,590.0,7400.0,4.397139483060594,0.49333333333333335,5.075674083184068,2.7042027490616576,0.0,14.854260058210722,20.34615859865488,6.838681186500751,20.34615859865488,46.76756037059932,413.966169721618,15.177841251182878,berat
57,Cisangkan Hilir,,2012-05-07,1170.0,0.076,26.2,83.4,,260000,327000000.0,50,4,3,25,0.2,1000,5000,23.4,0.5770000000000001,8.733333333333333,3.3360000000000003,0.0,260.0,65400.0,7.8460792870507134,0.5770000000000001,5.705900183000415,3.6161302098285057,0.0,13.07486673985409,25.077888741621337,7.985409308765008,25.077888741621337,63.766761828510845,628.9005037371381,18.610041181653106,berat
58,Cibaligo Hulu,,2012-05-02,244.0,5.26,9.47,24.4,,490000,770000.0,50,4,3,25,0.2,1000,5000,4.88,0.14500000000000002,3.1566666666666667,0.976,0.0,490.0,154.0,4.442099110013553,0.14500000000000002,3.496143621418055,0.947249088333459,0.0,14.45098040014257,11.937603604182316,5.059867974869993,14.45098040014257,25.60226392311497,208.83083452530468,10.826659190360147,berat
59,Cibaligo Tengah,,2012-05-02,523.0,2.11,117.0,308.0,,220000,2320000.0,50,4,3,25,0.2,1000,5000,10.46,0.40750000000000003,39.0,12.32,0.0,220.0,464.0,6.097658422656277,0.40750000000000003,8.955323035132496,6.453053539142033,0.0,12.712113404111031,14.332589902774403,6.99403404340232,14.332589902774403,48.9165122002706,205.42313332111078,11.276959819059865,berat
60,Cibaligo hilir,,2012-05-08,1260.0,0.0,126.0,380.0,,500,3000000.0,50,4,3,25,0.2,1000,5000,25.2,0.5833333333333334,42.0,15.2,0.0,0.5,600.0,8.007002703907721,0.5833333333333334,9.116246451989502,6.909217939723863,0.0,0.5,14.890756251918218,5.715222382981805,14.890756251918218,32.66376688693622,221.73462175404148,11.278262025706304,berat
